sales_date,price,type,bedrooms
2011-02-07 0:00,525000,house,4
2011-02-27 0:00,290000,house,3
2011-03-07 0:00,328000,house,3
2011-03-09 0:00,380000,house,4
2011-03-21 0:00,310000,house,3
2011-04-04 0:00,465000,house,4
2011-04-24 0:00,399000,house,3
2011-04-30 0:00,1530000,house,4
2011-05-24 0:00,359000,house,3
2011-05-25 0:00,320000,house,3
2011-06-26 0:00,385000,house,3
2011-06-27 0:00,305000,house,3
2011-06-27 0:00,850000,house,4
2011-06-28 0:00,765000,house,4
2011-06-30 0:00,517000,house,4
2011-07-02 0:00,800000,house,5
2011-07-03 0:00,336000,house,3
2011-07-06 0:00,535000,house,5
2011-07-07 0:00,900000,house,4
2011-07-08 0:00,327000,house,1
2011-07-12 0:00,427500,house,3
2011-07-13 0:00,780000,house,3
2011-07-18 0:00,530000,house,3
2011-07-18 0:00,590000,house,3
2011-07-20 0:00,525000,house,3
2011-07-20 0:00,549000,house,4
2011-07-21 0:00,1780000,house,4
2011-07-30 0:00,446000,house,3
2011-07-30 0:00,558000,house,4
2011-07-31 0:00,506000,house,3
2011-07-31 0:00,520000,house,4
2011-08-03 0:00,383000,house,3
2011-08-03 0:00,520000,house,3
2011-08-07 0:00,815000,house,5
2011-08-10 0:00,545500,house,3
2011-08-10 0:00,760000,house,3
2011-08-11 0:00,520000,house,3
2011-08-11 0:00,636000,house,3
2011-08-14 0:00,625000,house,4
2011-08-16 0:00,790000,house,4
2011-08-21 0:00,320000,house,3
2011-08-21 0:00,418000,house,5
2011-08-21 0:00,455000,house,4
2011-08-23 0:00,560000,house,4
2011-08-24 0:00,585000,house,4
2011-08-28 0:00,325000,house,2
2011-08-28 0:00,420000,house,4
2011-08-29 0:00,599000,house,3
2011-08-30 0:00,315000,house,2
2011-08-30 0:00,367000,house,3
2011-08-31 0:00,348000,house,3
2011-08-31 0:00,532500,house,4
2011-09-03 0:00,465000,house,3
2011-09-04 0:00,820000,house,4
2011-09-06 0:00,590000,house,3
2011-09-11 0:00,559000,house,4
2011-09-15 0:00,446000,house,4
2011-09-18 0:00,470000,house,3
2011-09-20 0:00,396500,house,4
2011-09-20 0:00,479000,house,3
2011-09-21 0:00,1460000,house,5
2011-09-22 0:00,500000,house,4
2011-09-22 0:00,506000,house,4
2011-09-22 0:00,520000,house,4
2011-09-24 0:00,920000,house,4
2011-09-27 0:00,507000,house,4
2011-10-02 0:00,475000,house,3
2011-10-09 0:00,397000,house,3
2011-10-10 0:00,556000,house,3
2011-10-12 0:00,447000,house,4
2011-10-12 0:00,720000,house,4
2011-10-15 0:00,273000,house,1
2011-10-16 0:00,368000,house,3
2011-10-16 0:00,385000,house,3
2011-10-17 0:00,560000,house,5
2011-10-19 0:00,455000,house,4
2011-10-19 0:00,480000,house,4
2011-10-24 0:00,300500,house,3
2011-10-24 0:00,505000,house,3
2011-10-25 0:00,135500,house,1
2011-10-25 0:00,590000,house,4
2011-10-25 0:00,645000,house,5
2011-10-25 0:00,770000,house,4
2011-10-26 0:00,1100000,house,5
2011-11-02 0:00,365000,house,3
2011-11-02 0:00,612500,house,4
2011-11-05 0:00,472500,house,4
2011-11-05 0:00,600000,house,5
2011-11-07 0:00,372500,house,3
2011-11-08 0:00,395000,house,3
2011-11-08 0:00,497000,house,2
2011-11-08 0:00,595000,house,4
2011-11-12 0:00,465000,house,2
2011-11-12 0:00,505000,house,4
2011-11-16 0:00,379000,house,3
2011-11-16 0:00,505000,house,3
2011-11-17 0:00,380000,house,3
2011-11-17 0:00,655000,house,4
2011-11-17 0:00,760000,house,3
2011-11-17 0:00,760500,house,3
2011-11-20 0:00,442500,house,4
2011-11-22 0:00,560000,house,4
2011-11-23 0:00,560000,house,4
2011-11-24 0:00,335000,house,3
2011-11-24 0:00,575000,house,3
2011-11-27 0:00,439000,house,3
2011-11-29 0:00,308000,house,1
2011-11-29 0:00,353000,house,3
2011-11-30 0:00,425000,house,3
2011-11-30 0:00,825000,house,3
2011-12-01 0:00,930000,house,5
2011-12-03 0:00,365000,house,3
2011-12-03 0:00,387000,house,3
2011-12-04 0:00,620000,house,4
2011-12-05 0:00,825000,house,3
2011-12-06 0:00,335000,house,3
2011-12-07 0:00,350000,house,3
2011-12-08 0:00,421000,house,3
2011-12-08 0:00,545000,house,4
2011-12-12 0:00,635000,house,4
2011-12-13 0:00,357500,house,3
2011-12-13 0:00,400000,house,4
2011-12-13 0:00,1105000,house,4
2011-12-14 0:00,259000,house,2
2011-12-14 0:00,437500,house,3
2011-12-15 0:00,530000,house,4
2011-12-19 0:00,630000,house,3
2011-12-20 0:00,615000,house,4
2011-12-21 0:00,332000,house,3
2011-12-21 0:00,490000,house,3
2012-01-02 0:00,309000,house,2
2012-01-14 0:00,413000,house,3
2012-01-15 0:00,445000,house,4
2012-01-15 0:00,600000,house,4
2012-01-17 0:00,417500,house,2
2012-01-17 0:00,462500,house,4
2012-01-17 0:00,485000,house,4
2012-01-18 0:00,580000,house,4
2012-01-23 0:00,380000,house,1
2012-01-24 0:00,560000,house,4
2012-01-24 0:00,575000,house,4
2012-01-24 0:00,1035000,house,4
2012-01-30 0:00,485000,house,3
2012-02-01 0:00,599000,house,4
2012-02-04 0:00,349000,house,3
2012-02-07 0:00,360000,house,3
2012-02-07 0:00,375000,house,3
2012-02-07 0:00,405000,house,3
2012-02-08 0:00,395000,house,3
2012-02-09 0:00,417000,house,3
2012-02-09 0:00,560000,house,3
2012-02-09 0:00,650000,house,4
2012-02-11 0:00,416000,house,4
2012-02-12 0:00,749000,house,4
2012-02-15 0:00,575000,house,4
2012-02-15 0:00,625000,house,3
2012-02-16 0:00,610000,house,5
2012-02-19 0:00,445000,house,4
2012-02-21 0:00,655000,house,5
2012-02-23 0:00,500000,house,4
2012-02-23 0:00,515000,house,2
2012-02-23 0:00,811000,house,5
2012-02-27 0:00,590000,house,4
2012-02-27 0:00,645000,house,5
2012-02-27 0:00,730000,house,4
2012-02-29 0:00,342000,house,3
2012-02-29 0:00,471000,house,4
2012-02-29 0:00,488000,house,3
2012-03-13 0:00,646000,house,4
2012-03-14 0:00,655000,house,4
2012-03-15 0:00,580000,house,3
2012-03-19 0:00,405000,house,3
2012-03-20 0:00,695000,house,4
2012-04-09 0:00,420000,house,4
2012-04-09 0:00,503000,house,3
2012-04-10 0:00,380000,house,3
2012-04-11 0:00,334000,house,3
2012-04-11 0:00,395000,house,3
2012-04-11 0:00,467500,house,4
2012-04-14 0:00,522500,house,3
2012-04-14 0:00,635000,house,5
2012-04-14 0:00,690000,house,4
